Date,Open,High,Low,Close,Volume,Symbol
10/08/2022,84.32,86.74,84.15,84.74,7617652,OGDC
11/08/2022,85,85.44,84.25,84.53,1933226,OGDC
12/08/2022,84.99,87.88,84.65,87.46,6862248,OGDC
15/08/2022,88.1,89,86.6,87.42,6997128,OGDC
16/08/2022,87.7,88.3,86.5,86.86,3751148,OGDC
17/08/2022,86.6,86.83,86,86.13,2225078,OGDC
18/08/2022,86.15,86.7,84.8,85.21,3048758,OGDC
19/08/2022,85.01,85.8,84.37,84.77,856995,OGDC
22/08/2022,84.35,85,82.65,83.05,3603096,OGDC
23/08/2022,83.9,85,83.7,84.71,2698387,OGDC
24/08/2022,84.5,85.3,84,84.26,646553,OGDC
25/08/2022,83.9,84.48,83.6,84.06,1209208,OGDC
26/08/2022,84,84.4,82.6,82.77,1771063,OGDC
29/08/2022,82.85,86,81.11,81.82,1874621,OGDC
30/08/2022,83.8,83.85,81.13,81.31,1756142,OGDC
31/08/2022,81,83.1,81,82.2,1044019,OGDC
01/09/2022,83,83,81.75,81.81,1153468,OGDC
02/09/2022,82.25,82.25,81,81.23,615400,OGDC
05/09/2022,81.24,81.35,80.01,80.09,1439261,OGDC
06/09/2022,80.12,80.6,79.93,80.32,999785,OGDC
07/09/2022,80.8,80.8,79.5,79.84,712302,OGDC
08/09/2022,79.9,80.5,79.8,80.17,1449141,OGDC
09/09/2022,80.55,80.55,79.5,79.64,1147183,OGDC
12/09/2022,79.8,80.09,78.98,79.04,572401,OGDC
13/09/2022,79.5,79.5,78.52,78.62,654071,OGDC
14/09/2022,78.45,80,78.15,79.36,1118996,OGDC
15/09/2022,80,80,78.05,78.2,1750164,OGDC
16/09/2022,78.8,78.8,76.75,78.4,2499800,OGDC
19/09/2022,78.5,78.8,77.88,77.98,736086,OGDC
20/09/2022,78,78.3,75.51,75.87,1581672,OGDC
21/09/2022,75.91,76.5,71.12,72.5,3471806,OGDC
22/09/2022,71.45,74.38,71.05,73.76,2980991,OGDC
23/09/2022,75,75.55,73,73.33,4149061,OGDC
26/09/2022,73.5,74.5,73.5,73.68,1295266,OGDC
27/09/2022,74.4,79,73.9,76.58,2822998,OGDC
28/09/2022,76.69,77.8,75.8,76.42,2048636,OGDC
29/09/2022,76,76.5,75.01,75.8,1107643,OGDC
30/09/2022,75.79,76.48,75.04,75.72,1463910,OGDC
03/10/2022,75.69,75.99,75,75.14,751886,OGDC
04/10/2022,75.06,75.49,74.5,74.74,596467,OGDC
05/10/2022,75,75.24,74.48,74.59,519520,OGDC
06/10/2022,74.5,76.7,74.5,76.23,1766625,OGDC
07/10/2022,75.61,76.79,75.3,75.47,789060,OGDC
10/10/2022,75.5,77.45,75.5,76.36,2201264,OGDC
11/10/2022,76.51,77.9,76.51,76.93,2725856,OGDC
12/10/2022,76.75,77.2,76.5,76.67,1067530,OGDC
13/10/2022,77,77.35,76.35,76.53,3945656,OGDC
14/10/2022,74.6,74.7,73.5,73.91,2147880,OGDC
17/10/2022,73.9,74,72.2,72.38,836345,OGDC
18/10/2022,72.45,73.4,71.8,72.01,1211234,OGDC
19/10/2022,71.82,73.1,71.82,72.91,1189977,OGDC
20/10/2022,73.25,73.6,72.2,72.29,1061325,OGDC
21/10/2022,72.59,73.8,71.83,72.96,4553831,OGDC
24/10/2022,73.95,74.25,72.96,73.21,1265381,OGDC
25/10/2022,73.12,74.89,73.1,73.22,4391704,OGDC
26/10/2022,72.76,72.8,71.4,71.62,1759687,OGDC
27/10/2022,71.9,71.9,70.85,71.33,1310959,OGDC
28/10/2022,71.33,71.48,70.25,70.44,928073,OGDC
31/10/2022,70.9,71.1,69.9,70.06,1568147,OGDC
01/11/2022,70.35,70.99,70,70.93,1561100,OGDC
02/11/2022,70.76,71.89,70.76,71.47,1403371,OGDC
03/11/2022,71.89,72.61,71.47,72.26,3215528,OGDC
04/11/2022,70.5,70.7,70,70.35,851616,OGDC
07/11/2022,70.8,71.41,70.61,70.88,1189278,OGDC
08/11/2022,71.25,72.3,71.15,71.67,967994,OGDC
10/11/2022,71.75,75.9,71.75,74.05,12082071,OGDC
11/11/2022,74.4,78.49,73.65,77.97,12535792,OGDC
14/11/2022,77,78.2,76.01,76.24,4367124,OGDC
15/11/2022,76.4,78.65,76.13,76.81,6570407,OGDC
16/11/2022,77,77.7,75.7,76.05,2408954,OGDC
17/11/2022,76.49,76.5,74.86,75.07,1306240,OGDC
18/11/2022,74.75,75.3,74.05,74.39,1895748,OGDC
21/11/2022,74.45,75,74,74.53,747024,OGDC
22/11/2022,74.8,75.14,73.9,74.03,1832635,OGDC
23/11/2022,74.3,74.44,73.8,73.99,661563,OGDC
24/11/2022,74,74.5,73.6,74.02,1602557,OGDC
25/11/2022,74.75,75.1,74.1,74.27,2351914,OGDC
28/11/2022,73.47,73.7,71.98,72.23,2333164,OGDC
29/11/2022,72.41,73.2,72.12,72.63,1297750,OGDC
30/11/2022,72.85,73.13,72.15,72.56,1254629,OGDC
01/12/2022,72.99,73.25,72.4,72.46,2715962,OGDC
02/12/2022,72.36,72.75,71.77,72.43,1145494,OGDC
05/12/2022,72.01,72.3,71.5,71.64,692614,OGDC
06/12/2022,71.9,72,70.5,71.45,957355,OGDC
07/12/2022,72,72.15,70.85,71.13,1823903,OGDC
08/12/2022,71.45,71.5,71,71.22,1395145,OGDC
09/12/2022,71.35,73.4,71.08,71.91,3443549,OGDC
12/12/2022,72.15,72.7,71.9,72.1,1482364,OGDC
13/12/2022,72.1,72.5,71.4,71.59,709841,OGDC
14/12/2022,71.31,73.6,71.06,73.06,3095047,OGDC
15/12/2022,73,73.2,71.1,72.15,2101633,OGDC
16/12/2022,72.37,72.74,71.2,72.52,753472,OGDC
19/12/2022,72.38,73.1,71.6,71.74,1171096,OGDC
20/12/2022,71.99,72.19,69,70.14,1992528,OGDC
21/12/2022,69.6,70.75,69.5,69.77,935392,OGDC
22/12/2022,70.5,73.5,70.5,72.25,3719850,OGDC
23/12/2022,72,73.49,71.81,72.98,2677053,OGDC
26/12/2022,73.7,77.05,73.5,76.87,7699788,OGDC
27/12/2022,76.89,77.35,74.85,75.11,2590526,OGDC
28/12/2022,74.13,75.9,74,75.27,2684756,OGDC
29/12/2022,75.85,77,75.21,76.46,3601912,OGDC
30/12/2022,76.46,81.68,76.46,79.66,10287417,OGDC
02/01/2023,79.1,82.65,79.01,80.22,7749060,OGDC
03/01/2023,80.5,80.9,79.52,79.94,1858912,OGDC
04/01/2023,80.08,80.9,78.3,78.55,2277612,OGDC
